role,split,slice_id,model_id,model_type,file_path
final_id_evaluation,test_in_dist,salt_canopy_002_il_0331,salt_canopy_002,salt_canopy,slices/slice_salt_canopy_002_il_0331.h5
final_id_evaluation,test_in_dist,gom_145_xl_0658,gom_145,gom,slices/slice_gom_145_xl_0658.h5
final_id_evaluation,test_in_dist,fault_004_xl_0161,fault_004,fault,slices/slice_fault_004_xl_0161.h5
final_id_evaluation,test_in_dist,seam_003_xl_0478,seam_003,seam,slices/slice_seam_003_xl_0478.h5
final_id_evaluation,test_in_dist,salt_canopy_001_xl_0872,salt_canopy_001,salt_canopy,slices/slice_salt_canopy_001_xl_0872.h5
final_id_evaluation,test_in_dist,gom_147_xl_0129,gom_147,gom,slices/slice_gom_147_xl_0129.h5
final_id_evaluation,test_in_dist,f3_043_xl_0491,f3_043,f3,slices/slice_f3_043_xl_0491.h5
final_id_evaluation,test_in_dist,fault_003_il_0761,fault_003,fault,slices/slice_fault_003_il_0761.h5
final_id_evaluation,test_in_dist,f3_050_xl_0766,f3_050,f3,slices/slice_f3_050_xl_0766.h5
final_id_evaluation,test_in_dist,f3_047_il_0782,f3_047,f3,slices/slice_f3_047_il_0782.h5
final_id_evaluation,test_in_dist,f3_051_il_0568,f3_051,f3,slices/slice_f3_051_il_0568.h5
final_id_evaluation,test_in_dist,fault_001_xl_0115,fault_001,fault,slices/slice_fault_001_xl_0115.h5
final_id_evaluation,test_in_dist,seam_002_il_0775,seam_002,seam,slices/slice_seam_002_il_0775.h5
final_id_evaluation,test_in_dist,gom_149_xl_0757,gom_149,gom,slices/slice_gom_149_xl_0757.h5
final_id_evaluation,test_in_dist,seam_005_xl_0121,seam_005,seam,slices/slice_seam_005_xl_0121.h5
final_id_evaluation,test_in_dist,gom_149_xl_0254,gom_149,gom,slices/slice_gom_149_xl_0254.h5
final_id_evaluation,test_in_dist,salt_canopy_000_xl_0363,salt_canopy_000,salt_canopy,slices/slice_salt_canopy_000_xl_0363.h5
final_id_evaluation,test_in_dist,seam_008_il_0665,seam_008,seam,slices/slice_seam_008_il_0665.h5
final_id_evaluation,test_in_dist,salt_canopy_003_il_0599,salt_canopy_003,salt_canopy,slices/slice_salt_canopy_003_il_0599.h5
final_id_evaluation,test_in_dist,f3_049_xl_0386,f3_049,f3,slices/slice_f3_049_xl_0386.h5
final_id_evaluation,test_in_dist,f3_048_xl_0442,f3_048,f3,slices/slice_f3_048_xl_0442.h5
final_id_evaluation,test_in_dist,seam_002_xl_0298,seam_002,seam,slices/slice_seam_002_xl_0298.h5
final_id_evaluation,test_in_dist,seam_006_xl_0261,seam_006,seam,slices/slice_seam_006_xl_0261.h5
final_id_evaluation,test_in_dist,f3_046_xl_0707,f3_046,f3,slices/slice_f3_046_xl_0707.h5
final_id_evaluation,test_in_dist,salt_canopy_002_il_0787,salt_canopy_002,salt_canopy,slices/slice_salt_canopy_002_il_0787.h5
final_id_evaluation,test_in_dist,gom_148_xl_0787,gom_148,gom,slices/slice_gom_148_xl_0787.h5
final_id_evaluation,test_in_dist,f3_044_il_0593,f3_044,f3,slices/slice_f3_044_il_0593.h5
final_id_evaluation,test_in_dist,seam_005_xl_0110,seam_005,seam,slices/slice_seam_005_xl_0110.h5
final_id_evaluation,test_in_dist,seam_000_xl_0372,seam_000,seam,slices/slice_seam_000_xl_0372.h5
final_id_evaluation,test_in_dist,fault_002_xl_0483,fault_002,fault,slices/slice_fault_002_xl_0483.h5
final_id_evaluation,test_in_dist,gom_151_xl_0318,gom_151,gom,slices/slice_gom_151_xl_0318.h5
final_id_evaluation,test_in_dist,fault_001_il_0228,fault_001,fault,slices/slice_fault_001_il_0228.h5
final_id_evaluation,test_in_dist,salt_canopy_001_il_0722,salt_canopy_001,salt_canopy,slices/slice_salt_canopy_001_il_0722.h5
final_id_evaluation,test_in_dist,fault_004_il_0138,fault_004,fault,slices/slice_fault_004_il_0138.h5
final_id_evaluation,test_in_dist,salt_canopy_003_il_0484,salt_canopy_003,salt_canopy,slices/slice_salt_canopy_003_il_0484.h5
final_id_evaluation,test_in_dist,seam_006_xl_0683,seam_006,seam,slices/slice_seam_006_xl_0683.h5
final_id_evaluation,test_in_dist,fault_000_xl_0652,fault_000,fault,slices/slice_fault_000_xl_0652.h5
final_ood_stress,test_out_dist,penobscot_000_il_0101,penobscot_000,penobscot,slices/slice_penobscot_000_il_0101.h5
final_ood_stress,test_out_dist,penobscot_000_il_0102,penobscot_000,penobscot,slices/slice_penobscot_000_il_0102.h5
final_ood_stress,test_out_dist,penobscot_000_il_0175,penobscot_000,penobscot,slices/slice_penobscot_000_il_0175.h5
final_ood_stress,test_out_dist,penobscot_000_il_0177,penobscot_000,penobscot,slices/slice_penobscot_000_il_0177.h5
final_ood_stress,test_out_dist,penobscot_000_il_0180,penobscot_000,penobscot,slices/slice_penobscot_000_il_0180.h5
final_ood_stress,test_out_dist,penobscot_000_il_0206,penobscot_000,penobscot,slices/slice_penobscot_000_il_0206.h5
final_ood_stress,test_out_dist,penobscot_000_il_0234,penobscot_000,penobscot,slices/slice_penobscot_000_il_0234.h5
final_ood_stress,test_out_dist,penobscot_000_il_0294,penobscot_000,penobscot,slices/slice_penobscot_000_il_0294.h5
final_ood_stress,test_out_dist,penobscot_000_il_0303,penobscot_000,penobscot,slices/slice_penobscot_000_il_0303.h5
final_ood_stress,test_out_dist,penobscot_000_il_0315,penobscot_000,penobscot,slices/slice_penobscot_000_il_0315.h5
final_ood_stress,test_out_dist,penobscot_000_il_0332,penobscot_000,penobscot,slices/slice_penobscot_000_il_0332.h5
final_ood_stress,test_out_dist,penobscot_000_il_0342,penobscot_000,penobscot,slices/slice_penobscot_000_il_0342.h5
final_ood_stress,test_out_dist,penobscot_000_il_0392,penobscot_000,penobscot,slices/slice_penobscot_000_il_0392.h5
final_ood_stress,test_out_dist,penobscot_000_il_0438,penobscot_000,penobscot,slices/slice_penobscot_000_il_0438.h5
final_ood_stress,test_out_dist,penobscot_000_il_0467,penobscot_000,penobscot,slices/slice_penobscot_000_il_0467.h5
final_ood_stress,test_out_dist,penobscot_000_il_0477,penobscot_000,penobscot,slices/slice_penobscot_000_il_0477.h5
final_ood_stress,test_out_dist,penobscot_000_il_0506,penobscot_000,penobscot,slices/slice_penobscot_000_il_0506.h5
final_ood_stress,test_out_dist,penobscot_000_il_0526,penobscot_000,penobscot,slices/slice_penobscot_000_il_0526.h5
final_ood_stress,test_out_dist,penobscot_000_il_0605,penobscot_000,penobscot,slices/slice_penobscot_000_il_0605.h5
final_ood_stress,test_out_dist,penobscot_000_il_0624,penobscot_000,penobscot,slices/slice_penobscot_000_il_0624.h5
final_ood_stress,test_out_dist,penobscot_000_il_0645,penobscot_000,penobscot,slices/slice_penobscot_000_il_0645.h5
final_ood_stress,test_out_dist,penobscot_000_il_0648,penobscot_000,penobscot,slices/slice_penobscot_000_il_0648.h5
final_ood_stress,test_out_dist,penobscot_000_il_0681,penobscot_000,penobscot,slices/slice_penobscot_000_il_0681.h5
final_ood_stress,test_out_dist,penobscot_000_il_0775,penobscot_000,penobscot,slices/slice_penobscot_000_il_0775.h5
final_ood_stress,test_out_dist,penobscot_000_il_0899,penobscot_000,penobscot,slices/slice_penobscot_000_il_0899.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0100,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0100.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0112,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0112.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0132,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0132.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0233,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0233.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0244,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0244.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0260,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0260.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0278,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0278.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0342,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0342.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0364,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0364.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0426,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0426.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0432,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0432.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0442,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0442.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0448,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0448.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0488,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0488.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0510,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0510.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0519,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0519.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0553,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0553.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0603,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0603.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0623,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0623.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0648,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0648.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0654,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0654.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0690,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0690.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0692,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0692.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0707,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0707.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0738,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0738.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0749,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0749.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0798,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0798.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0833,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0833.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0871,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0871.h5
final_ood_stress,test_out_dist,penobscot_000_xl_0880,penobscot_000,penobscot,slices/slice_penobscot_000_xl_0880.h5
